obamacare no_augmentation 1 mlm
Breitbart
{'eval_loss': 2.080657720565796, 'eval_runtime': 2.4085, 'eval_samples_per_second': 303.917, 'eval_steps_per_second': 38.197, 'epoch': 1.0}
{'eval_loss': 2.017671823501587, 'eval_runtime': 2.4137, 'eval_samples_per_second': 303.263, 'eval_steps_per_second': 38.115, 'epoch': 2.0}
{'eval_loss': 1.9774253368377686, 'eval_runtime': 2.415, 'eval_samples_per_second': 303.104, 'eval_steps_per_second': 38.095, 'epoch': 3.0}
{'eval_loss': 1.9332268238067627, 'eval_runtime': 2.4165, 'eval_samples_per_second': 302.919, 'eval_steps_per_second': 38.072, 'epoch': 4.0}
{'eval_loss': 1.8961915969848633, 'eval_runtime': 2.4139, 'eval_samples_per_second': 303.248, 'eval_steps_per_second': 38.113, 'epoch': 5.0}
{'eval_loss': 1.9216006994247437, 'eval_runtime': 2.4131, 'eval_samples_per_second': 303.347, 'eval_steps_per_second': 38.126, 'epoch': 6.0}
{'eval_loss': 2.01593017578125, 'eval_runtime': 2.4176, 'eval_samples_per_second': 302.783, 'eval_steps_per_second': 38.055, 'epoch': 7.0}
{'eval_loss': 1.9749568700790405, 'eval_runtime': 2.4145, 'eval_samples_per_second': 303.174, 'eval_steps_per_second': 38.104, 'epoch': 8.0}
{'eval_loss': 1.9590100049972534, 'eval_runtime': 2.4213, 'eval_samples_per_second': 302.312, 'eval_steps_per_second': 37.995, 'epoch': 9.0}
{'eval_loss': 1.9434200525283813, 'eval_runtime': 2.4138, 'eval_samples_per_second': 303.251, 'eval_steps_per_second': 38.113, 'epoch': 10.0}
{'eval_loss': 1.899966835975647, 'eval_runtime': 2.4108, 'eval_samples_per_second': 303.637, 'eval_steps_per_second': 38.162, 'epoch': 11.0}
{'eval_loss': 1.888149619102478, 'eval_runtime': 2.4129, 'eval_samples_per_second': 303.366, 'eval_steps_per_second': 38.128, 'epoch': 12.0}
{'eval_loss': 1.870175838470459, 'eval_runtime': 2.4151, 'eval_samples_per_second': 303.09, 'eval_steps_per_second': 38.093, 'epoch': 13.0}
{'eval_loss': 1.8971904516220093, 'eval_runtime': 2.416, 'eval_samples_per_second': 302.98, 'eval_steps_per_second': 38.079, 'epoch': 14.0}
{'eval_loss': 1.8786187171936035, 'eval_runtime': 2.4125, 'eval_samples_per_second': 303.418, 'eval_steps_per_second': 38.134, 'epoch': 15.0}
{'eval_loss': 1.8635174036026, 'eval_runtime': 2.4155, 'eval_samples_per_second': 303.042, 'eval_steps_per_second': 38.087, 'epoch': 16.0}
{'eval_loss': 1.9136226177215576, 'eval_runtime': 2.4132, 'eval_samples_per_second': 303.332, 'eval_steps_per_second': 38.124, 'epoch': 17.0}
{'eval_loss': 1.8557876348495483, 'eval_runtime': 2.4127, 'eval_samples_per_second': 303.39, 'eval_steps_per_second': 38.131, 'epoch': 18.0}
{'train_runtime': 1331.1686, 'train_samples_per_second': 90.124, 'train_steps_per_second': 5.639, 'train_loss': 1.591667681479816, 'epoch': 18.0}
CBS
{'eval_loss': 1.9389172792434692, 'eval_runtime': 2.0135, 'eval_samples_per_second': 396.823, 'eval_steps_per_second': 49.665, 'epoch': 1.0}
{'eval_loss': 1.8195210695266724, 'eval_runtime': 2.0161, 'eval_samples_per_second': 396.305, 'eval_steps_per_second': 49.6, 'epoch': 2.0}
