obamacare no_augmentation 1 mlm
NPR
{'eval_loss': 1.8417783975601196, 'eval_runtime': 4.0571, 'eval_samples_per_second': 315.744, 'eval_steps_per_second': 39.684, 'epoch': 1.0}
{'eval_loss': 1.8323785066604614, 'eval_runtime': 3.9965, 'eval_samples_per_second': 320.528, 'eval_steps_per_second': 40.285, 'epoch': 2.0}
{'eval_loss': 1.7446178197860718, 'eval_runtime': 3.9833, 'eval_samples_per_second': 321.595, 'eval_steps_per_second': 40.419, 'epoch': 3.0}
{'eval_loss': 1.6848355531692505, 'eval_runtime': 3.9505, 'eval_samples_per_second': 324.26, 'eval_steps_per_second': 40.754, 'epoch': 4.0}
{'eval_loss': 1.7614264488220215, 'eval_runtime': 3.9197, 'eval_samples_per_second': 326.814, 'eval_steps_per_second': 41.075, 'epoch': 5.0}
{'eval_loss': 1.715507984161377, 'eval_runtime': 3.9457, 'eval_samples_per_second': 324.661, 'eval_steps_per_second': 40.804, 'epoch': 6.0}
{'eval_loss': 1.7287195920944214, 'eval_runtime': 3.9626, 'eval_samples_per_second': 323.276, 'eval_steps_per_second': 40.63, 'epoch': 7.0}
{'eval_loss': 1.7434507608413696, 'eval_runtime': 3.9258, 'eval_samples_per_second': 326.307, 'eval_steps_per_second': 41.011, 'epoch': 8.0}
{'eval_loss': 1.7193045616149902, 'eval_runtime': 3.9187, 'eval_samples_per_second': 326.892, 'eval_steps_per_second': 41.085, 'epoch': 9.0}
{'eval_loss': 1.6498969793319702, 'eval_runtime': 3.9479, 'eval_samples_per_second': 324.473, 'eval_steps_per_second': 40.781, 'epoch': 10.0}
{'eval_loss': 1.6846232414245605, 'eval_runtime': 3.9481, 'eval_samples_per_second': 324.463, 'eval_steps_per_second': 40.779, 'epoch': 11.0}
{'eval_loss': 1.6815598011016846, 'eval_runtime': 4.0021, 'eval_samples_per_second': 320.084, 'eval_steps_per_second': 40.229, 'epoch': 12.0}
{'eval_loss': 1.6951236724853516, 'eval_runtime': 3.9648, 'eval_samples_per_second': 323.09, 'eval_steps_per_second': 40.607, 'epoch': 13.0}
{'eval_loss': 1.6290080547332764, 'eval_runtime': 3.998, 'eval_samples_per_second': 320.407, 'eval_steps_per_second': 40.27, 'epoch': 14.0}
{'eval_loss': 1.6419516801834106, 'eval_runtime': 3.9868, 'eval_samples_per_second': 321.308, 'eval_steps_per_second': 40.383, 'epoch': 15.0}
{'eval_loss': 1.6364068984985352, 'eval_runtime': 3.9573, 'eval_samples_per_second': 323.702, 'eval_steps_per_second': 40.684, 'epoch': 16.0}
{'eval_loss': 1.6454753875732422, 'eval_runtime': 3.989, 'eval_samples_per_second': 321.134, 'eval_steps_per_second': 40.361, 'epoch': 17.0}
{'eval_loss': 1.5862982273101807, 'eval_runtime': 3.9968, 'eval_samples_per_second': 320.509, 'eval_steps_per_second': 40.283, 'epoch': 18.0}
{'train_runtime': 2783.701, 'train_samples_per_second': 84.429, 'train_steps_per_second': 5.283, 'train_loss': 1.47206723127465, 'epoch': 18.0}
NYtimes
{'eval_loss': 1.9863042831420898, 'eval_runtime': 2.8171, 'eval_samples_per_second': 160.45, 'eval_steps_per_second': 20.234, 'epoch': 1.0}
{'eval_loss': 1.9250221252441406, 'eval_runtime': 2.822, 'eval_samples_per_second': 160.173, 'eval_steps_per_second': 20.199, 'epoch': 2.0}
