Outlet,All U.S. adults,Democrat/,Republican/,Liberal Dem/,Conservative/,Moderate/,Conservative Rep/
ABC News,0.33 ,0.37 ,0.30 ,0.32 ,0.42 ,0.36 ,0.26 
BBC,0.16 ,0.22 ,0.10 ,0.29 ,0.16 ,0.13 ,0.08 
Breitbart,0.04 ,0.00 ,0.08 ,0.00 ,0.01 ,0.03 ,0.11 
CBS News,0.30 ,0.33 ,0.26 ,0.30 ,0.36 ,0.29 ,0.24 
CNN,0.39 ,0.53 ,0.24 ,0.57 ,0.50 ,0.32 ,0.19 
Fox News,0.39 ,0.23 ,0.60 ,0.15 ,0.29 ,0.46 ,0.68 
Guardian,0.06 ,0.08 ,0.03 ,0.13 ,0.04 ,0.04 ,0.03 
HuffPost,0.08 ,0.12 ,0.03 ,0.18 ,0.08 ,0.03 ,0.03 
New York Times,0.20 ,0.31 ,0.09 ,0.42 ,0.22 ,0.12 ,0.08 
NPR,0.20 ,0.30 ,0.11 ,0.43 ,0.20 ,0.13 ,0.09 
rushlimbaugh.com,0.08 ,0.01 ,0.17 ,0.00 ,0.01 ,0.06 ,0.23 
The Sean Hannity Show,0.09 ,0.01 ,0.19 ,0.01 ,0.01 ,0.07 ,0.27 
USA Today,0.11 ,0.13 ,0.10 ,0.12 ,0.14 ,0.12 ,0.08 
Wall Street Journal,0.13 ,0.15 ,0.11 ,0.17 ,0.13 ,0.11 ,0.11 
Washington Post,0.17 ,0.26 ,0.08 ,0.33 ,0.20 ,0.09 ,0.08 
