Outlet,All U.S. adults,Democrat/,Republican/,Liberal Dem/,Conservative/,Moderate/,Conservative Rep/
HuffPost,0.12,0.2,0.04,0.27,0.14,0.06,0.03
Guardian,0.11,0.17,0.05,0.25,0.1,0.06,0.04
Washington Post,0.3,0.47,0.13,0.58,0.38,0.19,0.09
New York Times,0.35,0.53,0.15,0.66,0.42,0.23,0.1
NPR,0.31,0.46,0.16,0.63,0.33,0.21,0.13
CNN,0.47,0.67,0.23,0.7,0.65,0.36,0.16
USA Today,0.28,0.35,0.21,0.32,0.38,0.29,0.16
BBC,0.35,0.48,0.21,0.64,0.36,0.28,0.17
Breitbart,0.06,0.01,0.12,0.01,0,0.04,0.18
CBS News,0.45,0.59,0.3,0.57,0.6,0.42,0.23
Wall Street Journal,0.31,0.38,0.24,0.44,0.34,0.27,0.23
ABC News,0.48,0.6,0.33,0.57,0.63,0.47,0.24
rushlimbaugh.com,0.12,0.01,0.27,0,0.01,0.1,0.38
The Sean Hannity Show,0.14,0,0.3,0,0.01,0.1,0.43
Fox News,0.43,0.23,0.65,0.12,0.32,0.51,0.75
