Outlet,All U.S. adults,Democrat/,Republican/,Liberal Dem/,Conservative/,Moderate/,Conservative Rep/,distance
Fox News,0.39,0.23,0.6,0.15,0.29,0.46,0.68,-0.37
Sean Hannity Show (radio),0.09,0.01,0.19,0.01,0.01,0.07,0.27,-0.18
Rush Limbaugh Show (radio),0.08,0.01,0.17,0,0.01,0.06,0.23,-0.16
Breitbart,0.04,0,0.08,0,0.01,0.03,0.11,-0.08
Daily Caller,0.02,0,0.03,0,0.01,0.02,0.05,-0.03
Washington Examiner,0.02,0.02,0.04,0.01,0.02,0.03,0.04,-0.02
New York Post,0.05,0.05,0.05,0.05,0.05,0.04,0.06,0
Business Insider,0.04,0.05,0.03,0.07,0.04,0.03,0.03,0.02
Hill,0.06,0.08,0.05,0.11,0.05,0.04,0.05,0.03
USA Today,0.11,0.13,0.1,0.12,0.14,0.12,0.08,0.03
BuzzFeed,0.07,0.09,0.05,0.12,0.07,0.05,0.04,0.04
Vice,0.04,0.06,0.02,0.09,0.05,0.03,0.01,0.04
Wall Street Journal,0.13,0.15,0.11,0.17,0.13,0.11,0.11,0.04
Newsweek,0.05,0.07,0.03,0.08,0.07,0.04,0.03,0.04
Univision,0.05,0.07,0.03,0.04,0.09,0.03,0.02,0.04
Guardian,0.06,0.08,0.03,0.13,0.04,0.04,0.03,0.05
Time,0.07,0.1,0.04,0.11,0.09,0.05,0.03,0.06
CBS News,0.3,0.33,0.26,0.3,0.36,0.29,0.24,0.07
Vox,0.04,0.08,0.01,0.12,0.04,0.02,0.01,0.07
HuffPost,0.08,0.12,0.03,0.18,0.08,0.03,0.03,0.09
Politico,0.09,0.14,0.05,0.2,0.09,0.06,0.05,0.09
PBS,0.16,0.22,0.11,0.27,0.18,0.12,0.1,0.11
BBC,0.16,0.22,0.1,0.29,0.16,0.13,0.08,0.12
NBC News,0.34,0.4,0.28,0.39,0.4,0.32,0.25,0.12
Washington Post,0.17,0.26,0.08,0.33,0.2,0.09,0.08,0.18
MSNBC,0.24,0.33,0.14,0.38,0.3,0.17,0.12,0.19
NPR,0.2,0.3,0.11,0.43,0.2,0.13,0.09,0.19
New York Times,0.2,0.31,0.09,0.42,0.22,0.12,0.08,0.22
CNN,0.39,0.53,0.24,0.57,0.5,0.32,0.19,0.29
