Breitbart,8267,807,8357,756,7765,934,7663,1016,6665,732
CBS,11515,1680,9002,1026,9313,1273,12320,2268,7968,799
CNN,12587,1414,12982,1529,13158,1565,13949,1841,16030,1805
Fox,8487,450,8526,1284,9445,602,6473,695,7272,735
HuffPost,10272,1102,11044,1087,9780,1117,9385,1054,10138,1132
NPR,15260,1509,14730,1997,14934,1503,17285,2036,13057,1281
NYtimes,3113,322,2678,297,3077,271,3803,289,4936,452
usatoday,12288,1842,13464,1476,12432,1718,12436,1340,12261,1208
wallstreet,4914,447,4040,433,4403,469,6469,635,3003,407
washington,9747,1098,8788,816,9545,911,7666,861,14459,1947
