loss,augmentation,multi_number,Breitbart,CBS,CNN,Fox,HuffPost,NPR,NYtimes,usatoday,wallstreet,washington
mlm_cosdist,sentence_order_replacement,2,6.28,5.508,5.797,6.24,5.446,5.447,6.383,5.631,8.607,5.478
mlm_cosdist,sentence_order_replacement,3,6.361,5.228,5.647,6.502,5.227,5.073,6.254,5.653,7.842,5.57
mlm_cosdist,sentence_order_replacement,4,6.355,5.337,5.551,6.137,5.122,5.045,6.229,5.903,7.553,5.354
mlm_cosdist,sentence_order_replacement,5,5.954,5.465,5.848,6.266,5.57,5.001,6.544,5.497,8.526,5.434
mlm_cosdist,span_cutoff,2,6.376,5.248,5.62,6.136,5.273,5.038,5.925,5.759,7.322,5.547
mlm_cosdist,span_cutoff,3,5.918,4.969,5.886,6.14,5.021,4.753,6.082,5.584,7.913,5.699
mlm_cosdist,span_cutoff,4,5.89,5.434,5.345,6.478,5.168,4.895,6.335,5.475,7.603,5.465
mlm_cosdist,span_cutoff,5,6.383,5.317,5.459,5.943,5.342,5.094,6.087,5.476,8.267,5.327
mlm_cosdist,word_order_replacement,2,6.422,5.343,5.868,6.88,5.411,5.197,6.588,5.842,8.346,5.624
mlm_cosdist,word_order_replacement,3,6.389,5.27,5.628,5.958,5.648,5.042,6.289,5.391,8.477,5.664
mlm_cosdist,word_order_replacement,4,6.814,5.657,5.724,6.507,5.063,5.144,6.666,5.573,7.991,5.583
mlm_cosdist,word_order_replacement,5,6.756,5.24,5.837,6.606,5.627,4.792,7.314,5.304,7.708,5.724
mlm_cosdist,word_replacement,2,6.483,5.645,5.953,6.452,5.588,4.959,6.259,5.486,8.165,5.664
mlm_cosdist,word_replacement,3,6.083,5.394,5.733,6.255,5.329,5.017,7.027,5.721,8.207,5.657
mlm_cosdist,word_replacement,4,5.586,5.32,5.615,6.84,5.467,4.77,6.069,5.188,8.748,5.345
mlm_cosdist,word_replacement,5,6.735,5.025,5.593,6.303,5.285,5.008,6.607,5.394,7.414,5.482
mlm_cosdist,sentence_replacement,2,6.31,5.398,5.867,6.627,5.632,5.049,5.96,5.75,8.024,5.887
mlm_cosdist,sentence_replacement,3,6.261,5.338,5.726,6.16,5.383,4.883,6.126,5.099,8.695,5.43
mlm_cosdist,sentence_replacement,4,6.15,5.4,5.526,6.382,5.079,5.117,6.005,5.373,7.646,5.551
mlm_cosdist,sentence_replacement,5,6.534,5.493,5.627,6.819,5.416,4.902,6.783,5.261,8.491,5.269
mlm_cosdist,combine_aug,2,5.802,5.776,5.758,6.387,5.499,5.187,6.432,5.638,8.825,5.72
